review,notes,dates,accords_avis,dessaccords_avis
un mode solo délaissé encore fois qui est littéralement même que dernières années volta qui était pourtant prometteur quelques années auparavant qui est désormais plus qu un mode dérisoire inutile comblé par bots au vu du manque joueurs tout été misé sur ultimate team qui est de sa streux le matchmaking est désormais inexistant contrairement auparavant où jeu vous faisait tomber contre joueurs qui avaient équipe au moins peu près équivalente vous ne faites que tomber contre joueurs qui ont vendu leur âme au jeu au moins matchs sur se font contre joueurs qui ont payé ont équipes prêtes littéralement démolir vôtre le manque joueur sur jeu rend possibilité se faire crédits compliqué avec marché très peu actif votre seule solution vous en sortir payer le jeu manque cruellement finition réalisme dribble est devenu bien trop puissant joueurs lourds manier gardiens ont hitbox qui pas sens qui est littéralement invisible jeu rempli bugs en tout genre avec poteaux qui apparaissent en plein milieu du terrain ne disparaissent pas tout match bloquant ainsi vision statistiques qui affichent en énorme sur terrain qui gênent parfois lecture du jeu certaines qui plus est sont buggées affichent que carrés noirs menu très peu ergonomique avec notifications inexistantes obligé quitter jeu revenir voir notifications disparaître jeu rend copie bien pâle fade qui ne justifie aucunement son achat par rapport son prédécesseur très mauvais investissement ma part ne faites pas même erreur est déjà énorme ce que vend jeu sans compter tout ce qu il vous faudra verser en plus si vous voulez être au niveau vos adversaires le jeu reste bien sûr théâtre anti jeu humiliation fois en ligne ce qui ne change pas autres années points tout même car il reste fonctionnel techniquement mais dimension gatcha est beaucoup trop grande améliorations ajoutent rien au jeu elles font même régresser un style jeu bannir qui ne fait que vous pousser vers consommation,2,26/10/2023,1,0
je vais revendre pouvoir acheter pes place le gameplay est épouvantable défense complètement inexistante on pourrait presque marquer buts tête en étant allongé sur pelouse tellement défense gardiens sont nuls,0,24/10/2023,1,0
on paye balles ca serieux ca strictement rien avoir avec du football est du pay to win les gens mettent leurs argent avoir bons joueurs faire tout droits les goals sont inexistants vraiment achetez pas cette chose qui sert jeu vous serez deçu,0,24/10/2023,1,0
en tant que joueur fifa longue date cet opus est véritable catastrophe en termes gameplay rempli bugs répugnants nous sommes en bon sang,1,23/10/2023,1,0
gameplay catastrophique jamais vue fifa aussi nul script vraiment incroyable tacles fou furieux qui as aucun impact bugs tout va vraiment est plus horrible que sympathique jouer ce jeux seul truc positif du jeux est que cartes sont belles part ça tout reste est éclaté conseil gardez votre argent car ce jeux est perte temps,1,23/10/2023,1,0
ce jeux est sorti foul bug faut encore attendre mois cette année qu il soit finit tout est toujours que fut qu ils sortent jeux part free to play avec saisons vendre leurs nouvelles cartes qu on en parle plus ici sur club pro mode très intéressant complètement délaissé pendant semaines impossible trouver match maintenant que est réglé qu on puisse monter son pro quoi les étoiles gestes techniques mauvais pieds ne se fixe pas tu peux mettre ou étoiles geste technique en match ce sera toujours tu montes ton pro rien en carrière plein bug cinématique transfert maillots annonceur bref vivement bon concurrent que ea se bouge peu fesses sur vrai jeux foot du gameplay plutôt que mettre toute énergie sur techniques ventes commerciale fut,6,15/10/2023,1,0
merci aux joueurs donner vraies notes ce nouveau dlc part ea sports encore fois on se moque joueurs prix du jeu on maj fifa mode fut qui accueille féminines pourquoi ne pas faire mode féminine au sein même fut laisser mode base aucune idée le mode carrière est toujours même quelques améliorations anecdotiques encore fois animations sont mêmes malgré tout pas profondeur jeu comme on peut voir sur nbk par exemple les notes joueurs sont incohérentes ils ne doivent pas regarder matchs gameplay encore moins bon que années précèdentes gardiens horribles contres tout va attaquant appels sont une médiocrité toujours mêmes aucune tactique est réellement possible puisque ia joueurs est aléatoire arbitrage est pareil incompréhensible cartons jaune fautes qui méritent peine prison bref rien surprenant cette année encore vivement concurrent boycotter au lieu enrichir cette médiocrité,1,12/10/2023,1,0
pour moment est vraie purge espère sincèrement que majs vont sortir bientôt parce que là ça en devient risible aucun plaisir gagner buts sont cadeaux car gardiens existent pas si on sait minimum frapper est chance marquer tellement gardiens sont mauvais même alisson ou autre grands gardiens défenseurs est encore plus scandaleux apparement ils sont fait en gruyère attaquants traversent littéralement quand il contacts ou dribbles moindre changement trajectoire met au tapis défenseurs milieux défenseur sélectionné est seul contre tous car ia coéquipier est inexistant aucun marquage ni placement est triste voir même en testant mode carrière en légendaire est mauvais scores base chaque fois tellement est easy planter se prendre buts aussi vraiment déçu par jeu je passe sous silence tous bugs du jeu que ça soit certains menus ou gameplay parce que sinon ça serait trop long,2,07/10/2023,2,2
après heures jeu venant école pes depuis années mon verdict est que ce est pas du football une attaque défense avec système défensif inexistant une foutaise points volta car en attendais rien est divertissant en local avec potes,5,05/11/2023,1,1
je pensais au moins qu ils allaient changer quelque chose mais non mode carrière pauvre jeu est beug partout ont ils testé aucun changements avec anciens fifa trop rapide irréaliste aucune atmosphère ne achetez pas ça ne vaut pas peine,2,23/10/2023,1,1
attendais tellement car était mon premier fifa que ps franchement je suis totalement déçu le pire fifa depuis que joue moi ce qu il me marque plus est passe qui sont intercepté très facilement passes que je fait ne vont jamais ou ils doivent aller bien dommage avoir dépenser balle merde pareil espère que tout notes négatif vont faire bougé cul ea,5,20/10/2023,1,1
nul tryhardeurs comme chaque année mais quand meme bonne possibilité amuser sans se prendre tête meme ultimate team mieux que précédents ce point vue,15,14/11/2023,1,2
je mais saison club pro fut est pire arnaques du siècle je mais se mode bobo,10,17/10/2023,1,2
obligé gonfler note compenser avis négatifs complètement injustifiés je joue uniquement au mode carrière je ne parlerai donc pas autres modes cet opus est lignée son prédécesseur avec quelques améliorations par ci par là si vous achetez en promo ça vaut clairement coup faut pas mettre plus selon moi toujours est il que ce jeu est très bon quoi qu en disent pseudo spécialistes du football virtuel il suffit savoir ce que on achète savoir patienter jusqu arrivée promos ce qui pas pris longtemps cette année,20,28/12/2023,1,4
je trouve nouveau fc très bien malgré certains bugs début du jeux ainsi que glitch en modes en ligne sinon qualité graphismes du jeu restent bien,17,22/10/2023,1,8
gameplay meilleur qualité comparé aux autres années je prends du plaisir sur jeu mais combien temps seul temps nous diras avec futures mises jours,14,02/10/2023,1,9
je ai pas habitude noter fifa mais voyant tout monde lui mettre je vient lui mettre que je trouve mérité depuis que je achete an sur jai fait impasse sur du coup je voit vrai différence par rapport opus je trouve vraiment sympas très réussi alors oui ce est pas révolution non plus mais est très bon jeu football meilleur du marché seul aussi est vrai,18,04/10/2023,1,12
jeux plus posé mouvement plus naturel en réglant même sliders jeux deviens plus plaisant points positifs petite amélioration gameplay même si est pas révolution on sent est plus posé légère amélioration physique balle tester sur coup envoie carrière clubs bonnes animations que ce soit sur terrain ou cinématiques ou ralenti un nouveau menu fluide efficace de vrai maillots avec technologie sapienspoints négatifs toujours pas vs entre amis en ligne ou vs avec système lobby par ex gameplay degeulasse sur ut saison est autre jeux ballon plage vitesse multiplier par perte entrée hymne ldc avec compo terme immersion est bof,18,29/09/2023,1,15
scripté du début fin pire est ultimate team est importe quoi tu peux mettre meilleure défense du monde tu te manges buts merde tous cas,1,15 oct. à 09:22,0,0
le jeu plus beuger que je ai jamais vue ai désinstaller espère que fc ne sera pas pareil,0,28 août à 19:30,0,0
incroyable sa fait années que développeurs dorment debout jeux script fouuuu je parle même pas bugs pendant match vz falloir vraiment vous sortir du vos doigts faire jeux correcte comme par hasard fc va sortir fc bugs vous êtes vrais voyous nous vendent ça méga cher alors que votre jeux est juste nul rien dire,0,21 août à 04:28,0,0
très médiocre physique du jeu atroce aucun sens ia arbitres horribles on dirait presque que résultats matchs sont définis par avance matchmaking totalement déséquilibré ea fc étant énième jeu une longue série on dirait plus que est er jeu une entreprise médiocre tout est revoir refaire est fou,0,17 août à 14:40,0,0
llllll llllll llllll llllll llllll llllll llllll llllll llllll llllll the most rotten game in the world llllll llllll llllll llllll llllll llllll llllll llllll llllll llllll,0,14 août à 00:56,0,0
un jeu qui pas évolué du tout gardiens catastrophiques en club pro qui ne captent pas ballons avantage toujours attaquant quand jeu au top digne nouvelles générations consoles des jeux dignes ps,1,12 août à 18:58,0,0
une honte part jvc qui mettent jeu comme ça part nom rien nouveau script sont toujours là vous allez gagner contre real matchs suivants perdre cont evian quand jeu décidé que vous devez perdre est littéralement impossible leur joueur seront plus rapide sur toute vos passe vos joueur vont ce stopper ou reculer face joueur nombreux cafouillage non siffle on as impression jouer en par moment en bref mauvais jeux bien noter par jvc honte jeux vidéo ps jvc revoyez vos note votre site captcha ne fonctionne pas bien est eme fois que écris mon avis,0,07 août à 14:30,0,0
on reprend mêmes on recommence ça devrait être leur diction non évidemment on ne compte même plus nombre beug que jeu possède rien que jeu en plein match menus objectifs qui ne collent pas remises trophées sans vraiment voir cohérence équipes certains championnats en passe un calvaire on espère meilleur,9,29 juil. à 23:19,0,0
jeu avec scripts plus gros script match qui est flagrant est quand match débute tu marques rapidement ou but en même pas minutes jeu un coup tu en prends ou but en quelques minutes tu as plus du tout même adversaire en face toi,1,18 juil. à 02:42,0,0
graphismes top après en mode champion solo pas si évident mettre frappe loinbeaucoup réglages faire au préalable que cela soit peu réaliste vitesse lente etc beaucoup stades il en manque quelques uns olimpico allianz arena bollaert,16,13 juil. à 17:59,0,1
pire fifa fc les joueurs ne sont pas respecté obliger relancer jeu car menus bug ce depuis début du jeu jamais corriger bug abusé en tout genre ex les joueurs pouvaient traverser terrain avec balle mains tout match sans possibilité faire quoi que ce soit glitch partout récompense qui donner certain gros joueurs cause un bug jeu qui permet façon jouer dite cancer une physique dégelasse du script par moment lunaire,0,12 juil. à 19:35,0,0
fifa le féminin toujours pas mode carrière plus aucun mode création championnat ni équipes ni mayo ni stades foot pas réaliste je suis certain que créateurs du jeu on jamais regarder foot féminin exemple lille féminin stade plein craquer spectateurs je suis comptent qu il est du football féminin mais je retrouve pas du tout ambiance jeu,4,10 juil. à 00:03,0,0
le pire fifa depuis que ai commencé jouer il ans gameplay abominable aucun réalisme scores tennis chaque match éviter comme peste ea est tombé bien bas sur cet opus pas air en soucier je pensais que fifa était pire ai longuement hésité acheter fc avec son air nouveauté renouvellement quelle erreur mis part graphismes qui sont beaux gameplay est pire que jamais le seul changement situe nom franchise était mon dernier achat je me dirigerai désormais vers pes ou autres jeux simulations qui eux écoutent fans ne se moquent pas ouvertement leur communauté qu ils ne font qu arnaquer duper bout en bout achetez surtout pas ce jeu jouez tout simplement pas votre santé mental allez prendre air vivez vie heureuse loin ce jeu achetez masc,0,05 juil. à 14:32,0,0
horrible jeu est remplis script est injouable ça passer votre chemin est pire fifa depuis longtemps limite je regrette fifa qui était pourtant pas ouf nn plus bref achetez pas ce jeu,1,19 juin à 22:57,0,0
pire jeu fifa toute histoire vraiment jouez pas votre bien bien votre manette est truc fou faire jeux aussi pourri,0,19 juin à 18:25,0,0
je est trop contrôlé par mise jour erreurs que font joueurs au cours jeux sont impressionnant déstabilisant nos prenons début sans vouloir nous mettons début sans vraiment vouloir aussi cela dépend équipes avec bus sortis ailleurs,4,15 juin à 19:35,0,0
tout simplement dé sa stre est ce jeu ou vaste blague du mauvais pâté en boîte conserve clairement ne pas dire pire joue depuis ma tendre enfance aujourd hui berges je suis toujours présent sur fifa enfin plutôt ea fc désormais et moins que je puisse dire est que depuis toutes ces années je avais jamais vu ea sports sortir opus aussi bâclé brouillon on dirait presque démo niveau amateurisme ils ont décroché timbale le gameplay est catastrophique ça apparente du cirque surtout en ligne où système défensif est quasi inexistant joueurs avec niveau relativement faible peuvent transpercer votre défense tranquillement alors que vos défenseurs font bloc vont au contact les joueurs autour du porteur balle ne proposent quasiment jamais solutions radar du bas ne sert aussi quasiment plus rien tant mouvements appels balle en profondeur sont faméliques insignifiants impact passes triangle les passes clés été franchement limité que ce soit au sol ou mi hauteur tout comme centres et enfin gardiens ce jeu sont semblables grands chats bondissant gauche droite vitesse flash gordon tirs bout portant retours supersoniques sur ligne etc rien arrête portiers ce jeu bien burlesque voir parfois lolon dirait qu ea sorti jeu arcade avec niveau amateurisme défiant toutes morales comparé aux anciennes éditions trop failles gameplay que puristes braves bon joueurs éclatent vraiment ce ea fc est plutôt jeu assister faire plaisir aux débutants aux joueurs médiocres quelle pauvreté phase jeu moi qui suis ferru mouvements collectifs haute volée tiki taka jeu léché au sol football total football champagne philosophies que applique depuis années sur fifa eh ben bien mal en pris acheter ce jeu car il est quasiment impossible jouer merveille règles art cet opus bien médiocre insipide autre anecdote qui me fait sourire jaune récemment étais en train atomiser mec en ligne en saison bien évidemment rempli rage frustré moment donné il tourné talons bifurqué partie arrivant au menu principal saisons ma grande surprise je aperçois que je ai pas obtenu points victoire alors que mon adversaire abandonné est vraiment problème que ea doit corriger car cela est arrivé tas fois vrai dire est plutôt rageant ia en ligne est vraiment grotesque les seuls bons points du jeu sont graphismes contenu qui est riche mode carrière fut etc espère que ea corrigera tir rapidement car tout fans puristes du jeu depuis première heure comme moi je pense que question faire définitivement impasse sur jeu se posera où bien passer chez concurrence si elle se réveille mais étant donné qu ea pas concurrence concrètement ils sont peu en roue libre fauteuil est ça qui est peu dommage va falloir qu ea se réveillent que nous passionnés amateurs jeu simulation foot on kiffe éclate nouveau,5,14 juin à 12:08,0,0
honteux jeux mal optimiser que bugs aucun effort juste engranger max thunes jeux scripter déséquilibrer fifa il ans été mieux,0,10 juin à 14:15,0,0
après avoir abandonné fifa il ans maintenant car jeu etait catastrophique nul chier ai pris fc gratuitement sur psn résultat il est encore plus claqué ea ce donne fond faire grosse merde je joue uniquement en solo mode carrière je pense aue est pire ia que ai vu ma vie si je met jeu en champion je roule sur tout monde je monte un cran en légende affronte lionel messi tout est irréalisable au possible ia contres favorables chaque action la moindre interception ou tacle ia est parfaitement réussi je me fais balayer sans jamais faute je vais check ralentis ia ne touche pas ma ballon balaye mon joeur ca joue apparemment mdrrrea sport je suis si heureux vous avoir vu perdre licence fifa ahah petit petit tout vos jeux merde vont tomber oubli au première loge avec popcorn voir votre chut en espérant que vous allez mettre clé sous porte bande merdes,0,10 juin à 13:32,0,0
pas grand chose dire quand on note néant total une véritable pompe fric aucune cohérence avec du football ceci est arcade ou joueur part milieu terrain dribble droit met but bref toujours pareil au pays ea pompe fric,1,10 juin à 11:03,0,0
assez déçu cette opus par rapport au cru précédent ras bol maj qui changent constamment gameplay suite au retours joueurs pro gameplay déséquilibré ensemble très dur défendre pression trop hautes intense irréaliste mauvaise gestion du comportement ia bref chaque année son ea foot vidéo game chacun ses goûts pas pr moi cette année aussi bien en multi que en solo pas plaisir fou après que on reste objectif cela reste excellent jeu foot ensemble avec contenu dingue,13,20 avr. à 19:16,0,2
chaque année il se surpasse nous proposer merde est vraiment prodigieux atteindre tel niveau merditude je pense que pas qu il aura jamais jeu aussi merdique quoique avoir prochains fifa ils ont prouvé mainte reprise qu ils en sont capable mais toute façon celui restera dernier moi apres ans jouer fifa celui ci fini par me degouté du jeu,0,09 avr. à 01:55,0,0
je suis grand fan foot donc fifa même quand pes était au dessus jetait toujours fifa fifa ect ce putin fifa fait perdre centaines marche appuie sur triangle gardien ne sort pas il avance sans bouger que dire du mode légende importe quel équipe même plus naze sont imbattables non seulement imbattable mais en plus sa ils vous mettent raclé but normal exemple en ligue mode carrière psg avec bon joueur vu budget je perd face lens lyon me met alors que je menée toulouse me viole quel heure est du football les joueurs vont vitesse hinumaine je me dis trop dur je repasse en mode champion devinez quoi est beaucoup trop facile ou bien trop facile ou bien injouable mais quel jeux merde boycottez ses fdp ea vivement concurrent qu ont puissent enfin avoir jeu foot sérieux réaliste ai fait carrière avec wolsbouuurg en saison ont exigé ligue champions alors que vrai vie ce club es nul chier et si mal classe genre entre eme ème place virer alors que vrai vie il finissent entre eme ème place gerber fuck fifa fuck ea,5,07 avr. à 07:23,0,0
ai toujours pas compris si était du tennis ou du ping pong par contre est pas du foot ai déjà été déçu par jeux mais autant que celui là jamais ai pas besoin développer plus tout été dit commentaires précédents et prenez pas par dépit faire soirée fifa entre potes si ils ont pas compte est foutu si vous voulez jeux foot avec équipes stats qui se rapprochent réalité rabattez vous sur,1,03 avr. à 23:44,0,0
ce jeu peut ce trouver intéressant cas ou votre qi ne dépasse pas sinon passez votre chemin rien dire donc on va remplir caractère inutile car il mérite pas autres arguments mon chat est gris aime lasagnes,0,25 mars à 17:28,0,0
je joue fifa depuis fifa donc en ai vu passer quelques uns ah pardon ça ne appelle plus fifa ça appelle ea fc mais pardon ce est pas non plus jeu foot est jeu arcade après amateurs fantasy magie etc ce jeu est fait vous miracles qui enchaînent uns après autres records poteaux part autre match je perdais ai gagné en min etc bref daube qui veut se faire passer jeu football afin attirer plus grand monde alors que ceci est jeu arcade fantasy,0,24 mars à 18:05,0,0
jeu catastrophique remplis bug en tout genre paie to win en futvous aurez beau jouer énormément vous aurez rien vos pack plus ea se permet enlever vos crédit suspicions sans même apporter preuves vivement comme au basket ea sport va perdre marché car il se moque leur communauté jeu fuir bonne journée,1,23 mars à 12:26,0,0
jeux sport plus nul jamais conçu est tout sauf du foot surtout pas simulation fuir tout prix même vendre est arnaque comment gens peuvent jouer encore sa,0,22 mars à 21:44,0,0
incroyablement décevant jamais fifa pas autant déçu même fifa moi meilleur série qui su rebondir fc omg que est mauvais beaucoup chose supprimer en carrière manager est presque choix tactique imposé une entreprise comme ea devrais faire jeu chaque année qui surpasse précédent mais tout monde en fou tant qu ils ont leur fut débile super arcade,8,21 mars à 10:20,0,0
en ultime légende ai sentiment jouer aux échecs mais que adversaire joue coups plus chacun ses tours que mes pions que je touche pas se livre tout seul sur plateau ouverture lignes defensives que je gagne ou perde est même pas agréable depuis toutes ces années faut bien dire qu ils sont vraiment pas créatif chez ea encourage bouder prochaines sorties afin qu il ait du mouvement chaumière et dire que étais optimiste avec sortie ps,0,18 mars à 05:06,0,0
moi perso je dirais pas que jeu est archi degueulasse vous avez amélioré est temps ci ça va peu par rapport sortie avoue que vous aimez foot tout comme nous consommateurs mais en vrai est ce que vous avez essayer jeu vous même créateur avant faire sortir cette merde non ai impression que vous avez rendu jeu en faisant exprès bien sûr plus pire qu avant ai impression que vous faite exprès abord vous retirer ce qui est bon intro joueurs stade vue salutation joueurs intro en général vous retirer vous simplifier pourquoi au faite pourquoi supprimer brazil on sait que vous êtes raciste vous avez ajouter pays africains sa on sait mais pourquoi ne pas faire jeu qui est entier vous faite jeu super chers on se tue payer résultat déception ai impression que jeu est fait ia fautes sont trop abuser il tacles qui doivent faire exclus joueur mettre joueur tacler sur civière abord il mérite pas rouge joueur deux mon joueur est blessé est il se blesse sur fautes débile pourquoi ne pas faire mode carrière joueur plus réaliste ça vous coûte quoi easport ai mal parce que je sais que vous avez possibilité votre jeu est pas hyper degueulasse mais franchement ai impression ennuyer en jouant jeu jusque est seul jeu foot qui niveau graphiste est super bien mis copie coller réalité est tout comment faire carrière an contrat il suffit que tu valide pas seul objectif on te chasse même si tu as fais saison remarquable on veut voir plus cinématiques ai joueur jeu en ai fini saison demi est nul wallah les passes que ia qui réussissent bien moi quand mes joueurs ont ballon ils savent pas quoi faire pourquoi aussi chasser bon joueur quand arrive parfois vous faite pas jouer tu as bon ailier qui dribble quand ils sont ia jour tu joue avec eux ils devienne nul est abuser essayer être plus réaliste les têtes meme si tu as marquinhos est jouer gen qui imposera face lui même il tête je sens première que vous pouvez changer beaucoup chose il vous plaît après prochaine sorti soyez vrai envers nous jeu est trop facile moi abord ma carrière je suis aller au psg quand importe quel joueur marque publique scande son nom quand je marque personne ose parler mon joueur est pas réaliste cesser faire que tout tourne autour mon joueur par moment mon équipe peuvent se permettre combiner marquer pourquoi toujours ils tourne me rechercher est naz il est facile mesure où est moi qui doit tout faire fin saison ai passe ou sa existe ça var merde est bon peu cohérence pourquoi pas interview genre question réponse pourquoi pas toujours commencer carrière ans avve club mon souhait pas réaliste si je choisir réal que je fais asseoir vinicus sa existe pas sachant sur vinicus est au meilleur sa forme faite plutôt truc qui donne envie dit je suis fier ce jeu mais rien chaque jour est pareil les club doivent se battre nous avoir par nos compétences transfert quel coups je ne dois plus être transfert en janvier vous rendez jeu mille franchement est bon arrête jouer pfff je suis mal sur nerfs,2,14 mars à 03:48,0,0
ce fut pire jeu que ai testé jeu est nul gameplay est nul communauté est nul ultimateam pourri le jeu est rempli script rééquilibrage le jeu plus rageant,0,10 mars à 04:30,0,0
nul concept jouabilité pire en pire surtout ultimate team grand déséquilibre réa attribution pas logique sur jeux qui devient plus en plus frustrant pas évolution graphisme depuis est presque même jeux voir pire en jouabilté entre ps ps pas différence catastrophe amateurs jeux football malheureusement aucune alternative,0,02 mars à 13:13,0,0
vraiment décevant le même depuis mais en plus il est scripté jusqu au cou impossible être champion sur mode carrière on se fera tjrs doubler moment ou autre les scores sont matchs tennis les gardiens sont véritables passoires nos joueurs glissent les scores sont aléatoires ex tu peux gagner contre barca puis perdre contre almeria ia du jeu est contre toi fois sur bref ea vous avez tout intérêt faire mieux faire en sorte que cela ressemble du foot,3,02 mars à 10:54,0,0
je ai pas acheter fifa ni cette fois je ai toucher bien même euros est trop ce jeux est vraiment chier plus nul que ai connus lenteur absurde joueurs lacs contre favorables scripts score tennis pleins autres choses rien ne va fuir,0,25 févr. à 18:19,0,0
intelligence artificiel complètement débile rends balles adversaire défenseurs ont peur du ballon goal arrête tirs nombreux bugs textures passes travers joueurs ballon invisible jeu qui est qu une mise jour du est arnaque,3,17 févr. à 22:48,0,0
un jeu merde vraiment le pire jeu au monde je comprends pas comment ça peut être légal mettre en circulation tel jeu franchement gars derrière jeu vous êtes mange mort bande incapable qui passent entièreté leur journée concevoir investir jeu pourris qui au final pû merde bouffé votre fc chié une honte,1,15 févr. à 15:53,0,0
je mets mais je ne sais pas où vient ce point le jeu est très decevant beaucoup aspect mais plus alarmant sont bugs beaucoup crash jeu particulièrement lourd nombreux bug sur modes en ligne mais aussi certaines personnes mode ultimate teams ne marche pas ce qui est fonction principal fifa autant dire qu il ne faut pas acheter même si vous êtes fan fifa joueur fut je vous déconseille ça sera juste deception,1,12 févr. à 22:24,0,0
juste copier coller fifa avec mise jour transferts équipes voilà tour est joué une blague franchement aucune amélioration catastrophe comment se faire du fric on en foutant moins possible,2,03 févr. à 22:04,0,0
je me demande encore pourquoi ai acheté ce jeu ai joué trois heures je ai fermé désinstallé rien nouveau depuis honte ea est fini,5,03 févr. à 00:30,0,0
pelouses est tout,5,30 janv. à 20:17,0,0
jeux vraiment horrible script sur script passe impossible réaliser changements curseur en pleine action donc impossible défendre contre favorable sur contre favorable il es chier ce jeu,0,27 janv. à 13:38,0,0
avant acheter je trouvais note joueurs sévère mais ça était avant acheter année dernière avais mis fifa cette année devenue fc même nom est médiocre je lui retire encore point les menus sont moches pas du tout intuitifs le mode jeu ut est injouable mentalité adversaires exécrable tout monde équipes fou dès mon troisième match avais déjà bonne équipe aimais bien plaisir commencer avec mauvais joueurs devoir se saigner avoir bon joueur maintenant est celui qui aura bappe légendaire ut champion suprême omega version cheat infini noël vitesse puis femmes que viennent elles faire là est scandale vous feriez mieux acheter droits du napoli juve ou milan plutôt que vos équipes féminines surtout sur ut un très beau mauvais jeu foot seul intérêt jouer avec ses amis pour ceux qui en ont,2,27 janv. à 00:48,0,0
le gameplay est chieune défense mortles femmes plus rapide que mbappetrop chose dire mais ai pas temps ai rien fairebref daube ce jeu,1,24 janv. à 22:26,0,0
ceux qui mettent partout qui viennent dire merde chaque année allez créez inventez votre propre jeu simulation foot joué toutes semaines sur ps parfois avec mon père ce jeu est régal qui est passionnant tout point vue en tant que fan football,19,24 janv. à 11:26,0,3
