review,notes,dates,accords_avis,dessaccords_avis,cleanned_review,classification
Un jeu d'arcade avec des joueurs trop rapide et des fonctionnalités de gameplay relatives au contrôle des joueurs à l'arrêt absent par rapport à Fifa 23. Des cinématique d'ouverture ridicule sans les compositions d'équipe complètement déconnecté de la réalité !Les matches de hautes intensités sont de véritables foutouard du fait que les joueurs n'ont pas réellement la possession d'un ballon trop versatile ! Pas de stabilité dans la tenue du ballon ! C'est vraiment du grand n'importe quoi !La seule chose que explique les bons résultats de vente de cette bouse c'est que EA est seul sur son marché sans réelle concurrence sérieuse.Il aurait simplement fallut qu'EA reprenne Fifa 23 et le réactualise avec effectif maillot et chaussures pour la nouvelle saison. Au lieu de prendre Fifa 23 et de le détériorer.Un mot pour qualifier ce nouvel opus : ÉCŒURANT.,1,12/10/2023,2,0,jeu arcade avec joueurs trop rapide fonctionnalités gameplay relatives contrôle joueurs arrêt absent rapport fifa cinématique ouverture ridicule sans compositions équipe complètement déconnecté réalité matches hautes intensités véritables foutouard fait joueurs ont réellement possession ballon trop versatile stabilité tenue ballon vraiment grand importe seule chose explique bons résultats vente bouse seul son marché sans réelle concurrence sérieuse aurait simplement fallut reprenne fifa réactualise avec e,sad
Définition parfaite du pay to win comme d’habitude. Plus aucun plaisir à jouer au mode fut. Ajout des féminines dans fut logique plus de cartes donc plus de variantes donc plus de packs et donc plus de tunes on connaît la recette!Avoir des gardiens à plus de 80 de global qui ont le niveau de U15 district 4 mais normal…Comme d’habitude pas d’amélioration ea n’apprend toujours pas de ses erreurs dommage… vivement un conçurent à la hauteur!,1,11/10/2023,2,0,définition parfaite pay win comme habitude aucun plaisir jouer mode fut ajout féminines fut logique cartes variantes packs tunes connaît recette gardiens global ont niveau district normal comme habitude amélioration apprend toujours ses erreurs dommage vivement conçurent hauteur,neutral
"horrible jeu plus d'hymne de la ldc on a au lieu de ça un gros cadre d'objectif dont personne en a quelque chose a faire plus de cinématique d'entrée des joueurs public horriblement mal fait aucun progrès depuis des années les nombreuses catastrophes qui se produisent entre les joueurs (comme a chaque fifa) du style les joueurs qui se rentrent dedans et qui ne tiennent jamais debout les buts gags qui arrivent quasiment a tout les match les niveaux de difficultés en mode carrière qui sont complément éclaté ( en pro c'est des aveugles en face et la difficulté au dessus qui est ""champions"" c'est un injouable) impossibilité de changer la langue des commentaire en match (gros coup dur pour le réalisme) et j'en passe... bref ce jeu est une énorme blague chaque année c'est de pire en pire bref ""FC24"" est largement moins bien que FIFA 15 et c'est une honte absolue ne gaspillez pas votre argent dans cette daube.",1,10/10/2023,2,0,horrible jeu hymne ldc lieu gros cadre objectif dont personne quelque chose faire cinématique entrée joueurs public horriblement mal fait aucun progrès depuis années nombreuses catastrophes produisent entre joueurs comme chaque fifa style joueurs rentrent dedans tiennent jamais debout buts gags arrivent quasiment match niveaux difficultés mode carrière complément éclaté pro aveugles face difficulté dessus champions injouable impossibilité changer langue commentaire match gros coup dur réalisme passe bref ,sad
Est ce que ce jeu mérite 0-20??? Non… il en mériterais plutôt 7/20! C’est une énorme bouze comme tout les FIFA depuis des années. Mais EA est capable chaque année de nous étonner toujours un peu plus! Et de prouver que :1 - Ils se foutent totalement de la gueule de leur client!2 - Qu’ils ne comprennent absolument rien au football!3 - Voyant les gens jouer toujours plus à FÛT et à mettre toujours plus d’argent dans un pack opening se disent que leur clientèle est définitivement lobotomisé et que par conséquent il n’y avait aucune raison de ne pas continuer à se payer leurs tronches!Les gros défauts de ce jeu :- Vitesse de jeu beaucoup beaucoup beaucoup beaucoup trop rapide!- TOUT EST ASSISTÉ!!! (Pressing passe en profondeur blocs) un véritable bonheur pour les joueur META (tout ceux qui ont appris le foot via FUT et qui n’y comprennent rien!) Un enfer pour ceux qui essaie un tant soit peu de jouer au foot!- OPEN BAR AU NIVEAU DU SCRIPT!- L’IA!!!! J’entends très souvent des joueurs se réjouir des nouveautés du mode carrière! Mais je ne comprend pas comment on peut se b….. devant 3 cinématique pour le mode carrière et en oubliez l’essence du jeu! Le Gamplay!!! Et avec une IA pareil c’est tout simplement nul à chier!!!A quoi bon avoir les logo des championnats et des équipes l’affichage officiel du championnat avec les maillots et les stades si c’est pour avoir l’impression de jouer contre une IA totalement debile et en même temps complètement cheater!Qualités : Des super musiques comme très souvent! Mais à 70€ la playlist je vous conseil un abonnement Spotify ou Deezer!Dernier carton rouge adressé au « journaliste » de jeuxvideo.com qui a réalisé la critique de ce FC24!Le chèque venu d’EA devait être assez conséquent pour avoir le culot de mettre 16/20 à cette bouze!Donc Cher Monsieur de 2 choses l’une soit vous vous êtes fait acheter par EA et vous n’avez rien à faire en tant que journaliste soit vous trouvez que ce jeu est réellement bien et a ce moment là vous avez un problème psychatrique et n’avez rien à faire là non plus!Bref que ce soit Jeuxvideo.com ou EA comment arrivez à vous regardez dans la glace le matin?,0,10/10/2023,2,0,jeu mérite non mériterais plutôt énorme bouze comme fifa depuis années capable chaque année nous étonner toujours peu prouver foutent totalement gueule leur client comprennent absolument rien football voyant gens jouer toujours fût mettre toujours argent pack opening disent leur clientèle définitivement lobotomisé conséquent avait aucune raison continuer payer leurs tronches gros défauts jeu vitesse jeu beaucoup beaucoup beaucoup beaucoup trop rapide assisté pressing passe profondeur blocs véritable bonhe,anger
Dire que certains payent 100 € pour le dernier jeu fifa actif  mais qui sont les pigeons qui payent ça 100 balles 😂😂😂. C'est le jeu de foot le plus médiocre auquel je n'ai jamais joué de ma vie. C'est une catastrophe de gameplay ça en devient lunaire.Des gardiens en pâte à modeler des joueurs patineurs artistiques qui tombent toutes les 5 minutes. Un affichage de menu horrible...Bref j'ai payé l'abonnement EA play sur un mois à 0.99  cents d'€ pour tester le jeu 10h sans avoir à le payer en entier et quelle bonne idée de la part de EA que cet abonnement !! Ça confirme toute la médiocrité de leur dernier joujou qui ne vaut même pas 20 € tellement c'est claqué au sol.Sur mes 10 heures de jeu j'ai encore 7h restantes et je comprends pourquoi il est terriblement nullissime. Je suis impressionné par autant de nullité...Ils n'ont pas perdu que la licence avec cet opus ils ont perdu aussi des joueurs. Car il ne reste plus que les plus grosses dindes parmi les amateurs ou mordus de foot pour encore payer pour cette arnaque grandeur nature que dis-je pour cette arnaque mondiale...,0,06/10/2023,2,0,dire certains payent dernier jeu fifa actif pigeons payent balles jeu foot médiocre auquel jamais joué vie catastrophe gameplay devient lunaire gardiens pâte modeler joueurs patineurs artistiques tombent toutes minutes affichage menu horrible bref payé abonnement play mois cents tester jeu sans payer entier quelle bonne idée part cet abonnement confirme toute médiocrité leur dernier joujou vaut tellement claqué sol mes heures jeu encore restantes comprends pourquoi terriblement nullissime suis impressionn,sad
Je pense a fc 24 chaque fois que je m'assoie depuis le 29 septembre des attaquants surpuissants mais des défenseurs et des gardiens nul à chier rendant le jeu complètement déséquilibré donnant des scores de 7-3 ou 8-4 par exemple. Un manque de réalisme total.,0,06/10/2023,2,0,pense chaque fois assoie depuis septembre attaquants surpuissants défenseurs gardiens nul chier rendant jeu complètement déséquilibré donnant scores exemple manque réalisme total,sad
"Le pire ""Fifa"" de l'histoire. Sur UT la defense est catastrophique ils ont essayer de tenter quelque chose mais ce n'est clairement pas au point. A se demander si ils ont réellement eu le temps de finir le jeu où s'ils ont balancé ca comme ca dans l'objectif d'améliorer avec les MAJ.L'attaque est encore une fois et plus que jamais favorisée. Le vrai football est mort dans les jeux videos. Je regrette dd l'avoir acheté. Ce sera le dernier que j'achète si cette merde ne s'améliore pas.",0,03/10/2023,2,0,pire fifa histoire defense catastrophique ont essayer tenter quelque chose clairement point demander ont réellement temps finir jeu ont balancé comme objectif améliorer avec maj attaque encore fois jamais favorisée vrai football mort jeux videos regrette acheté sera dernier achète merde améliore,sad
J’ai revendu le jeu au bout de 3 jours.Le gameplay est catastrophique. Le réalisme inexistant (score de tennis buts improbables erreurs grossières). La liste des problèmes est longue. Tout est à revoir. Je n’ai pas du tout aimé fifa 23 sur xbox one mais je peux vous dire que fifa 22 et fifa 21 sur xbox one était meilleurs. Une lente régression vers ce qu’il y a de pire chez EA ?,2,08/10/2023,3,1,revendu jeu bout jours gameplay catastrophique réalisme inexistant score tennis buts improbables erreurs grossières liste problèmes longue revoir aimé fifa xbox one peux dire fifa fifa xbox one était meilleurs lente régression vers pire chez,sad
'Jeu mal équilibré :'Je n'avais plus joué à un FIFA depuis 4 ou 5 ans je me suis donc laissé tenté par ce EA FC 24.Sur le mode Solo rien à dire tout ce qu'on attends du jeu est bien là j'ai commencé une carrière d'entraineur et pour l'instant l'espérience est agréable.Le problème vient du multi et du gameplay.2 énormes problèmes se pose le premier est au niveau gameplay.Un style de jeu est beaucoup trop fort par rapport aux autres il sagit de la contre attaque si vous ne jouez pas comme ça impossible de gagner le jeu de possession est complétement inutile il y a clairement un problème d'équilibrage dans ce jeu.Le 2 ème gros problème est le mode en ligne j'ai enchainé 18 défaites sur FUT avant de gagner mon premier match le jeu ne prends pas en compte le niveau des joueurs et lance des matchs au hasard il est donc facile de ne tomber que sur des joueurs beaucoup trop fort pour nous surtout quand on achète le jeu day one on en tombe que sur des brutes c'est décourageant.Incroyable qu'il n'y ai pas de système d'élo en 2023. Alors oui quand les forts joueurs auront atteint des divisions élevés ça sera plus jouable mais attendant l'expérience utilisateur est catastrophique.Dernier point négatif concernant l'ajout des femmes sur FUT. Je ne vais pas trop en dire mais ça ruine un peu le réalisme.,9,01/10/2023,3,1,jeu mal équilibré avais joué fifa depuis ans suis laissé tenté mode solo rien dire attends jeu bien commencé carrière entraineur instant espérience agréable problème vient multi gameplay énormes problèmes pose premier niveau gameplay style jeu beaucoup trop fort rapport aux autres sagit contre attaque jouez comme impossible gagner jeu possession complétement inutile clairement problème équilibrage jeu ème gros problème mode ligne enchainé défaites fut avant gagner mon premier match jeu prends compte nivea,sad
jeu tres limitégameplay pauvre dure de passer de fifa23 à ca pourtant le 23 etait pas fou mais la clairement une catale pire jeu de tout les temps et de loin bon le point possitif c'est que saison pro ils peuvent pas faire pire,5,13/10/2023,2,1,jeu tres limitégameplay pauvre dure passer fifa pourtant etait fou clairement catale pire jeu temps loin bon point possitif saison pro peuvent faire pire,sad
Le pire jeu football de cette planète le temps additionnel interminable ou l’arbitrage ne siffle jamais ou encore le faite qu’il est impossible de dégager en touche même pleine puissance beaucoup de bug Seul point positif la Direction artistique est belle,3,20/04/2024,1,0,pire jeu football planète temps additionnel interminable arbitrage siffle jamais encore faite impossible dégager touche pleine puissance beaucoup bug seul point positif direction artistique belle,sad
Le jeu existe encore car il n'y a pas de concurrence..  le mode ultimate team est une catastrophe. Le script une honte. Et tout les pack que l'on gagne devenu non échangeable. Ils font tout pour nous obliger a mettre de l'argent pour pouvoir espérer avoir des joueurs.,1,18/04/2024,1,0,jeu existe encore car concurrence mode ultimate team catastrophe script honte pack gagne devenu non échangeable font nous obliger mettre argent pouvoir espérer joueurs,anger
Pire fifa de tout les temps surtout le mode fut horrible les gens on déjà des équipe a 90 au milieu de jeu des bugs de partout même dans les menues dans le jeu on en parle même pas le gameplay horrible de fou l’acheter pas vous allez juste rage,0,09/04/2024,1,0,pire fifa temps surtout mode fut horrible gens déjà équipe milieu jeu bugs partout menues jeu parle gameplay horrible fou acheter allez juste rage,sad
Le pire 'FIFA' de l'histoire et probablement le pire jeu de football de l'histoire.Après des années et des années de jouer sur FIFA je crois que cette année sera la dernière que j'achète ce jeu.J'espère bien qu'il y aura un autre jeu pour de la concurence espérant également le retour de KONAM,0,13/03/2024,1,0,pire fifa histoire probablement pire jeu football histoire après années années jouer fifa crois année sera dernière achète jeu espère bien aura autre jeu concurence espérant également retour konam,sad
Voilà un jeu de football qui ne ressemble en rien à du football ! L'amusement n'y est pas depuis des années et ce nouvel opus est le pire ! Assurément un grand n'importe quoi,0,11/03/2024,1,0,voilà jeu football ressemble rien football amusement depuis années nouvel opus pire assurément grand importe,sad
Le jeux est vraiment à revoir  c’est vraiment une honte  c’est le jeux le plus beugé de la new génération il faut le relancer tout les 5min parce que il freez le serveur sont toujours pleins du coup impossible de connecter la moitié du temps  et il te font payer cette daube 80€ ? je sais mais pas comment il n’on pas honte d’avoir oser sortir le jeux  mais bon il toujours du fric donc il s’en fiche  mais sa va leurs retomber dessus un de ces jours c’est dommage pour eux,5,06/03/2024,1,0,jeux vraiment revoir vraiment honte jeux beugé new génération faut relancer min parce freez serveur toujours pleins coup impossible connecter moitié temps font payer daube sais comment honte oser sortir jeux bon toujours fric fiche leurs retomber dessus ces jours dommage eux,anger
UN 0/20 BIEN MÉRITÉ ! Parce que j’aime trop ce sport qu’est le football et que ce jeu ressemble a tout sauf à ce sport que j’aime tant ! Parce que j’ai mis 79€ dans un jeu qui n’est même pas finit…. Nous sommes en Mars et c’est la première que je désinstalle un Fifa aussi tôt dans l’année. C’est tout simplement le pire Fifa jamais sortie et je sais de quoi je parle je suis un adepte depuis le 2004. Le jeu est tout simplement horrible ! Parlons de cette impression que vos joueurs patine ! Comment EA peut voir ça et sortir le jeu sans jamais corrigé cette horreur les joueurs glisse littéralement sur le terrain. Les animations complètement irréaliste une jambe qui passe a travers l’autre essayé en contrôlant Messi de faire des gauche droite avec votre joystick gauche vous allez voir que le gars est littéralement assis ! COMMENT EST-CE POSSIBLE !? Le GAMEPLAY problème majeur de ce EAFC24 …Le pire tout fifa confondu mais bon pas grave les cheveux des joueurs bouge et les lacets des chaussures aussi. L’intelligence artificielle… C’est tout simplement impossible de jouer dans l’axe les déplacements sans ballon sont nul aucun joueurs qui vient chercher le ballon dans l’axe le BU qui se cache derrière les défenseurs adverses quand vous avez le ballon au milieu de terrain vos défenseurs qui vous fonce dessus.. MON DIEU. Le moteur graphique FROSBITE est complètement cassé tant qu’EA continuera de travailler avec on se coltinera le même jeu merdique pendant des années. Étant fan du mode carrière (malgré le manque de nouveautés à travers les années) je suis force de constater qu’il n’y a zéro nouveauté intéressante. EA a quand même cette année retirer l’une des seules choses immersive.. L’entrée avec l’affichage des compos etc … Ils ont pensé que ce serait une bonne idée de le retirer les gars réfléchisse à l’envers. Il y surement d’autres chose que j’oublie. Mais ce jeu et ses développeurs ne mérite même pas un 1 ou 2 je vois certaines personnes dire « Je met une bonne note pour remonter un peu la note globale du jeu » C’est a cause de ce genre de réaction qu’on paye pour pour un jeu merdique depuis tant d’années qu’EA nous sorte le même jeu horrible depuis Fifa 18. Vous vous rendez compte que le dernier vrai bon date d’il y a 7 ans…UNE HONTE 0/20,0,02/03/2024,1,0,bien mérité parce aime trop sport football jeu ressemble sauf sport aime tant parce mis jeu finit nous sommes mars première désinstalle fifa aussi tôt année simplement pire fifa jamais sortie sais parle suis adepte depuis jeu simplement horrible parlons impression vos joueurs patine comment peut voir sortir jeu sans jamais corrigé horreur joueurs glisse littéralement terrain animations complètement irréaliste jambe passe travers autre essayé contrôlant messi faire gauche droite avec votre joystick gauche ,sad
Alors que dire que dire....Adepte de la licence pc depuis Fifa 15 j'ai toujours été un fidèle joueur achetant chaque année le nouvel opus.Cela a aussi été le cas pour le 24 sauf que là problème. Déjà depuis le 23 j'avais quelques problèmes au niveau du lancement du jeu m'obligeant quasi systématiquement à désinstaller ou à bidouiller leur système anti-triche à la c*n mais j'arrivais tout de même à jouer sans problèmes. Arrive le 24 je met 60 euros pour y jouer : 15h...En effet au mois d'octobre arrive une maj après laquelle je n'ai plus jamais pu lancer mon jeu. Me rappelant les problèmes de son prédécesseur je vais sur des forums pour me renseigner je m'aperçois alors que d'autres joueurs ont le même problème que moi : l'anti-cheat se lance écran noir puis le jeu se ferme.  Plusieurs solutions émergent mais concrètement aucune ne marche. Après avoir tout mais TOUT essayé je me résigne à attendre une nouvelle maj qui pourrait régler le problème. Ahah mais quelle réactivité d'EA !!Un problème datant du mois d'octobre nous sommes bientôt au mois de mars aucun mais AUCUN effort n'a été fait que ça soit au niveau d'une maj ou même d'une simple réponse du service client parfaitement inutile. EA s'en fout de ses joueurs pc qui doivent se débrouiller par eux-mêmes pour lancer un jeu qu'ils ont payé 60 balles. Après quasiment 10 ans de fidélité EA viennent de perdre un client.Conclusion: 60 euros déboursés pour 15h de jeu et bien sûr impossibilité de remboursement.C'est vraiment dégueulasse de prendre à ce point les clients pour de la m*rde.,0,29/02/2024,1,0,alors dire dire adepte licence depuis fifa toujours été fidèle joueur achetant chaque année nouvel opus cela aussi été cas sauf problème déjà depuis avais quelques problèmes niveau lancement jeu obligeant quasi systématiquement désinstaller bidouiller leur système anti triche arrivais jouer sans problèmes arrive met euros jouer effet mois octobre arrive maj après laquelle jamais lancer mon jeu rappelant problèmes son prédécesseur vais forums renseigner aperçois alors autres joueurs ont problème moi anti c,sad
"Je poste après 27h de jeu je l'ai acheté y a peut-être 1 mois...""Heureusement"" je l'ai acheté ""que"" 25 € même si c'est 20 € de trop.Je joue principalement en carrière joueur et j'ai toujours eu cette impression qu'EA doivent supprimer des choses pour les remplacer par d'autres choses qui étaient déjà là y a genre 10 ans.Ils peaufinent vite fait pour faire genre c'est nouveau et basta.Pourquoi je ne peux pas partir en prêt ?Pourquoi les bandes chevilles ont été enlevés ?Pourquoi les entrées aussi ?Pourquoi mes coéquipiers me bouchent le chemin ?Pourquoi mon poste n'est jamais respecté quand je change de club ?Je suis le seul à pas trop kiffer le nouveau système avec un agent ?C'était bien d'être approché par différents club et faire son choix là en fait on choisit comme on veut du moment qu'on remplie les objectifs...Et pourquoi j'ai pas droit à une cinématique moi en tant que joueur ?J'ai aussi envie de voir la tronche de mon agent en cinématique + voir mon pro et la signature du contrat... J'ai peut-être envie de négocier ma durée de contrat ou mon salaire.J'ai peut-être envie aussi de me plaindre de mon salaire durant la saison comme l'on fait les joueurs quand on fait une carrière manager.Pourquoi c'est réservé à la carrière manager ? Et le nouveau système de personnalité avec les points inutiles j'ai l'impression que ça a aucun impact lors d'un match.Je vais pas parler du mode FUT où ils ont osé foutre des hommes et des femmes mélangés et nous faire croire qu'une Alana Cook fout un coup d'épaule à Haaland... Faut pas déconner quand même.En fait on dirait une version BETA où EA fourrent tout et on verra par la suite.Pour le FC25 :Ils vont rajouter l'option prêt avec option d'achat mais en améliorer pour faire passer la pilule puis éventuellement remettre les bandes chevilles et à la place des entrées ils vont nous sortir un nouveau geste technique inutile.Peut-être une énième cinématique inutile.",4,28/02/2024,1,0,poste après jeu acheté peut être mois heureusement acheté trop joue principalement carrière joueur toujours impression doivent supprimer choses remplacer autres choses étaient déjà genre ans peaufinent vite fait faire genre nouveau basta pourquoi peux partir prêt pourquoi bandes chevilles ont été enlevés pourquoi entrées aussi pourquoi mes coéquipiers bouchent chemin pourquoi mon poste jamais respecté quand change club suis seul trop kiffer nouveau système avec agent était bien être approché différents cl,anger
Terrible.Que des bugs.Injouable.Plateforme d'échange désagréable aucune constructiveJe rajoute des caractères pour que l'avis soit assez long mais il n'y a rien à ajouter,0,25/02/2024,1,0,terrible bugs injouable plateforme échange désagréable aucune constructiveje rajoute caractères avis soit assez long rien ajouter,sad
Le plus mauvais jeu de sport qui m'ait été de jouer.2 points pour le contenu et le visuel général qui est assez bon. Parlons du gameplay il n'existe pas il est régi par des scripts même contre l'IA. Quand on a le ballon c'est assez plaisant mais lorsqu'il faut défendre c'est n'importe quoi les joueurs glissent tacle à côté se font prendre de vitesse perdent tous les contres et n'ont aucune réactivité. C'est une galère la physique est complètement buggé ce qui prouve un manque complet de compétences chez les codeurs ou alors aucune connaissance de ce sport chez les développeurs. Pour finir un sport si important et qui s'adapte parfaitement au jeux vidéo est monopolisé malheureusement par une société qui ne le respecte pas c'est lamentable.,2,23/02/2024,1,0,mauvais jeu sport ait été jouer points contenu visuel général assez bon parlons gameplay existe régi scripts contre quand ballon assez plaisant lorsqu faut défendre importe joueurs glissent tacle côté font prendre vitesse perdent tous contres ont aucune réactivité galère physique complètement buggé prouve manque complet compétences chez codeurs alors aucune connaissance sport chez développeurs finir sport important adapte parfaitement jeux vidéo monopolisé malheureusement société respecte lamentable,sad
Il faut détester le football pour aimer ce navet ! INJOUABLE ! Ce titre est tout simplement grotesque ! Avec un produit comme celui-là EA Sports se moque clairement des joueurs ! Jeu desinstallé à vendre...Cette fois EA et moi c'est bel et bien terminé ! Boycott total 👎,0,13/02/2024,1,0,faut détester football aimer navet injouable titre simplement grotesque avec produit comme celui sports moque clairement joueurs jeu desinstallé vendre fois moi bel bien terminé boycott total,anger
WORST GAME EVER EVER EVER CLUB PRO NOTHING IS WORKING BOTS ARE JUST A JOKEFUT BULSHIT AGAIN  BROKEN CARDS  BROKEN REWARDSTRANSFERT MARKET FREEZING JUST DELETE THIS GAME,0,28/01/2024,1,0,worst game ever ever ever club pro nothing working bots are just jokefut bulshit again broken cards broken rewardstransfert market freezing just delete this game,sad
Je sais même pas pourquoi j’ai acheté cette dope je le savais déjà depuis 20 j’achète plus aucun fifa et même avant cette année la j’étais déçu des autres 2017 / 2018 / 2019 bref j’ai craqué pour une bouze . Honnêtement en 2h vous avez fait le tour du jeu … circulez il y a rien à voir,0,21/12/2023,1,0,sais pourquoi acheté dope savais déjà depuis achète aucun fifa avant année étais déçu autres bref craqué bouze honnêtement avez fait tour jeu circulez rien voir,sad
Fc24 est le pire de tous !!! J'ai jouer à tout les fifa mais celui là est injouable ! J'ai jamais vue une défense aussi merdique des gardiens inexistant et tout c'est contre favorable alors que c'est impossible de voir va en vrai insupportable. J'ai jouer 20 match je suis déjà à bout ! N'achetez surtout pas le jeux cette année !,0,13/12/2023,1,0,pire tous jouer fifa celui injouable jamais vue défense aussi merdique gardiens inexistant contre favorable alors impossible voir vrai insupportable jouer match suis déjà bout achetez surtout jeux année,sad
Jouez à EA FC 24 et jouez ensuite à fifa 14. 10 fifa en dessous donc 10 jeux en dessous C'EST LE MÊME JEU !!! AUCUNE AMÉLIORATION RIEN seul truc de meilleur dans EA FC c'est légèrement les graphismes. On nous vend la même daube chaque année c'est scandaleux et nous comme des pigeons on achète c'est l'année de trop pour moi,0,07/12/2023,1,0,jouez jouez ensuite fifa fifa dessous jeux dessous jeu aucune amélioration rien seul truc meilleur légèrement graphismes nous vend daube chaque année scandaleux nous comme pigeons achète année trop moi,anger
Injouable le mec prend le ballon impossible de lui prendre j'ai jamais vue 1 fifa aussi mal fait c'est pas du foot sa ya trop de chose péter une simulation sa c'est 1 sketch le jeu tu te retourne encore et encore le ballon tu peut pas le prendre impossible double pressing se que tu veut les frappes c'est quand le jeu a décidé bref scrypter a fond plus cava plus c'est de la merde choquer du gameplay degeulasse,2,05/11/2023,1,0,injouable mec prend ballon impossible lui prendre jamais vue fifa aussi mal fait foot trop chose péter simulation sketch jeu retourne encore encore ballon peut prendre impossible double pressing veut frappes quand jeu décidé bref scrypter fond cava merde choquer gameplay degeulasse,sad
UNE CALAMITE !Un jeu catastrophique beaucoup trop méta et qui ne ressemble en rien à du football !Si en plus vous rajoutez le script omniprésent lorsque vous jouez en ligne vous obtenez l'arnaque du siècle.Ce jeu est une fraude sans nom EA ne se cache pas dans sa volonté de prendre les gens pour des débiles.,0,03/11/2023,1,0,calamite jeu catastrophique beaucoup trop méta ressemble rien football rajoutez script omniprésent lorsque jouez ligne obtenez arnaque siècle jeu fraude sans nom cache volonté prendre gens débiles,anger
De pire en pire en pire en pire comment c’est possible me diriez vous ?Et bien EA a la réponse à votre question !Je ne vais pas lister tous les problèmes de ce jeu car j’en aurai pour des heures je vais parler du plus gros problème qui est le rééquilibrage dans les matchs.De quel droit le jeu nous impose une variation du niveau de jeu de nos joueurs ?On gagne nos joueurs deviennent nul puis on perd -> c’est génial !Des bugs jamais corrigés…Pourquoi la conduite de balle de Messi Prime est accessible à tout le monde ? 😅Vous l’aurez compris que ce jeu est naze.(Ps: je suis div élite et fait rang 1 à fut champ),0,03/11/2023,1,0,pire pire pire pire comment possible diriez bien réponse votre question vais lister tous problèmes jeu car aurai heures vais parler gros problème rééquilibrage matchs quel droit jeu nous impose variation niveau jeu nos joueurs gagne nos joueurs deviennent nul puis perd génial bugs jamais corrigés pourquoi conduite balle messi prime accessible monde aurez compris jeu naze suis div élite fait rang fut champ,sad
catastrophique comme à son habitude. ce n'est pas une simulation mais bel et bien un jeu Arcade. à quand un vrai jeu de foot ??????????????????????????,0,01/11/2023,1,0,catastrophique comme son habitude simulation bel bien jeu arcade quand vrai jeu foot,sad
Une daube monumentale pay too fast pay to win bien trop présent dans le jeu. La jouabilité horrible on a l'impression de jouer à un PES bêta... Et dites vous que le pire dans tous ça c'est que ça va être le FIFA le plus rentable de l'histoire puisqu'ils ne payent plus aucun droit à la FIFA. UNE BELLE ARNAQUE PLANÉTAIRE,0,01/11/2023,1,0,daube monumentale pay too fast pay win bien trop présent jeu jouabilité horrible impression jouer pes bêta dites pire tous être fifa rentable histoire puisqu payent aucun droit fifa belle arnaque planétaire,anger
De la déception j’hésite à retourner sur un ancien FIFA surtout plus la petite music de la LDC avant les matchs ni compo des équipes il parle de réalisme mais ils enlèvent le réalisme qui fait le début d’un match,10,28/10/2023,1,0,déception hésite retourner ancien fifa surtout petite music ldc avant matchs compo équipes parle réalisme enlèvent réalisme fait début match,sad
"Un mode solo délaissé encore une fois qui est littéralement le même que les (10?) dernières années un Volta qui était pourtant prometteur quelques années auparavant et qui n'est désormais plus qu'un mode dérisoire inutile comblé par des bots au vu du manque de joueurs.Tout a été misé sur Ultimate Team qui est DE-SA-STREUX. Le matchmaking est désormais inexistant contrairement à auparavant où le jeu vous faisait tomber contre des joueurs qui avaient une équipe au moins à peu près équivalente. Vous ne faites que tomber contre des joueurs qui ont vendu leur âme au jeu au moins 4 matchs sur 5 se font contre des joueurs qui ont payé et ont des équipes prêtes a littéralement démolir la vôtre. Le manque de joueur sur le jeu rend la possibilité de se faire des crédits compliqué avec un marché très peu actif. Votre seule solution pour vous en sortir : payer.Le jeu manque cruellement de finition et de réalisme le dribble est devenu bien trop puissant les joueurs lourds à manier les gardiens ont une hitbox qui n'a pas de sens (qui est littéralement invisible). 60€ pour un jeu rempli de bugs en tout genre avec des poteaux qui apparaissent en plein milieu du terrain et ne disparaissent pas de tout le match (bloquant ainsi la vision) des statistiques qui s'affichent en énorme sur le terrain qui gênent parfois à la lecture du jeu (certaines qui plus est sont buggées et n'affichent que des carrés noirs) un menu très peu ergonomique avec des notifications inexistantes (obligé de quitter le jeu et de revenir pour voir les notifications disparaître) le jeu rend une copie bien pâle et fade qui ne justifie aucunement son achat par rapport à son prédécesseur. Très mauvais investissement pour ma part ne faites pas la même erreur. 60€ c'est déjà énorme pour ce que vend le jeu sans compter tout ce qu'il vous faudra verser en plus si vous voulez être au niveau de vos adversaires.Le jeu reste bien sûr le théâtre de l'anti-jeu et de l'humiliation une fois en ligne (ce qui ne change pas des autres années)2 points tout de même car il reste fonctionnel techniquement mais la dimension de Gatcha est beaucoup trop grande et les ""améliorations"" n'ajoutent rien au jeu elles le font même régresser. Un style de jeu à bannir qui ne fait que vous pousser vers la consommation.",2,26/10/2023,1,0,mode solo délaissé encore fois littéralement dernières années volta était pourtant prometteur quelques années auparavant désormais mode dérisoire inutile comblé bots manque joueurs été misé ultimate team streux matchmaking désormais inexistant contrairement auparavant jeu faisait tomber contre joueurs avaient équipe moins peu près équivalente faites tomber contre joueurs ont vendu leur âme jeu moins matchs font contre joueurs ont payé ont équipes prêtes littéralement démolir vôtre manque joueur jeu rend p,sad
Je vais le revendre pour pouvoir acheter PES 2020 à la place.Le Gameplay est épouvantable la défense complètement inexistante on pourrait presque marquer des buts de la tête en étant allongé sur la pelouse tellement la défense et les gardiens sont nuls.,0,24/10/2023,1,0,vais revendre pouvoir acheter pes place gameplay épouvantable défense complètement inexistante pourrait presque marquer buts tête étant allongé pelouse tellement défense gardiens nuls,sad
